,transformed standard dGr,SD
0,,
1,,
2,,
3,,
4,,
5,,
6,-205.79737302655565,0.0
7,95.89826832939912,0.0
8,136.9185972530886,0.0
9,0.0,0.0
10,136.91869474489476,0.0
11,0.0,0.0
12,-94.11890170737055,5.134444633918503
13,,
14,-400.39892550905233,3.297094655211439
15,-395.4042794490472,3.1368252503121288
16,-391.3184936917064,3.0605340804239605
17,-20.46480483097462,0.3042778553577672
18,-21.842142445516856,1.2431335785793902
19,,
20,,
21,50.2035228114928,0.0
22,-200.81408807897608,0.0
23,,
24,-391.3184917523442,3.060534080423852
25,-4.88186430034628,0.0
26,50.20352343518175,0.0
27,-50.20352343518175,0.0
28,200.8140937407268,0.0
29,-200.8140937407268,0.0
30,50.20352343518175,0.0
31,200.8140937407268,0.0
32,-200.8140937407268,0.0
33,-400.39892356968994,3.297094655211533
34,-400.39892356968994,3.297094655211533
35,-23.96833442730008,1.830018103752393
36,-350.1587552982348,70714.26616150621
37,27.171244072229456,0.0
38,-30.438545083775807,3.048925539823274
39,17.345360304460826,1.6927163689096003
40,-7.987217368636664,0.0
41,-2.3871176537480965,0.0
42,7.989484569693218,0.0
43,-33.033252965996326,3.669103466772984
44,9.12803975501464,0.0
45,-19.34288759709625,1.0109657895836488
46,11.383310857571814,0.0
47,-8.747376692995374,100004.28623930425
48,-12.512572713293425,0.0
49,-40.65327355210502,1.089656572957463
50,-40.45147180104618,1.1067378058805328
51,-40.65866657786785,1.089656572957463
52,-40.456864826809465,1.1067378058805328
53,-70.19042541341906,4.614309908740798
54,-549.4428577415677,7.060313264611851
55,0.0,0.0
56,-0.8265980306005076,1.967312694535216
57,-41.05847187057441,0.0
58,-436.8473324473616,3.7540318145997817
59,-437.1581360297214,3.7590254041440394
60,-16.631691107876122,1.0110966472899647
61,-247.98254556961405,6.404597108921912
62,-4.248897579222785,2.9318707536553568
63,-32.62591612328066,1.4430114519027957
64,-7.870350529572875,1.9136546367244116
65,-20.13712771947195,3.088253269746168
66,-40.53771022927742,3.2193095354853805
67,22.132678778513466,2.9318707537072117
68,-20.1059083546736,3.088253269746168
69,-206.26587527666,6.89606576030725
70,-40.627851498321775,1.0896565729574632
71,8.033590348215398,0.0
72,31.947857137316987,0.0
73,41.07583665843305,0.0
74,-40.62823866232884,1.0896565729574632
75,-40.42643691126955,1.106737805880533
76,-93.47172745066008,4.578266391334068
77,-21.463788862811214,2.9922672133604884
78,0.3645689760427899,0.0
79,-18.464340942670333,3.088253269750509
80,-1513.9719039728247,244956.24450472323
81,-9.409856920847758,1.9136546367289928
82,-9.082701156541232,1.9136546367289928
83,-274.785686733927,100005.11494947108
84,-278.7535708648812,100005.11494947108
85,-81.92289918606556,6.889997772610206
86,-93.46386767998752,4.578266391334068
87,-93.49121771720928,4.578266391334068
88,41.05607092093601,0.0
