,standard_dGr_prime,SD
MAR04317,-1.9536444525377874,1.7698875665664673
MAR04318,,
MAR04319,-15.339816421633842,0.36131057143211365
MAR04320,-15.296186054456886,0.3613147735595703
MAR04356,-21.15167659850399,0.6889331340789795
MAR04383,-0.20519518722862173,0.2115427702665329
MAR04385,6.9153550418672225,0.6456156969070435
MAR04386,8.094462536301606,0.4712718427181244
MAR04387,-2.518605099054291,0.14454588294029236
MAR04399,-41.33122136963294,2.72908878326416
MAR04400,-25.93800280809464,2.3075270652770996
MAR04401,-2.5186927828676,0.14453229308128357
MAR04402,-8.42401541192594,0.5723020434379578
MAR04403,2.5311881238489775,1.0104620456695557
MAR04490,-15.339435369867783,0.3613106906414032
MAR04706,-28.460926958511614,4.855415344238281
MAR08768,-25.937974198393412,2.3075225353240967
MAR04590,-22.395696896338535,0.7528805732727051
MAR04591,22.395738857480193,0.7528631091117859
MAR04592,-16.373924083104654,0.6264027953147888
MAR04593,22.395733135434295,0.7528626918792725
MAR04594,-13.749273757777367,1.8787051439285278
MAR04595,15.2494263910967,0.36131641268730164
MAR08341,-16.373925990453287,0.6263993382453918
MAR08342,-22.3957445795261,0.7528671622276306
MAR08344,-19.239657574266314,1.6780328750610352
MAR08352,-23.318142496028557,3.2883706092834473
MAR08353,-14.874274427125233,3.3882622718811035
MAR08726,-12.009472812891545,0.9760006666183472
MAR08727,-32.73182656197518,0.7818015813827515
MAR08728,-17.64440919833839,0.6576637029647827
MAR08729,-25.7229143859508,0.9272631406784058
MAR06537,-19.239657574266314,1.6780277490615845
MAR01568,-45.59282771615415,1.2193446159362793
MAR03853,-20.21030452859157,2.5492005348205566
MAR03854,-6.945856298859159,3.0792360305786133
MAR03855,-29.24630400704399,1.0031723976135254
MAR03857,-28.707082004576023,2.647394895553589
MAR03859,15.186926764642227,3.6021363735198975
MAR04087,15.450500427691026,2.1659483909606934
MAR04089,15.467079727005714,2.1659348011016846
MAR04091,15.449854227703781,2.1659388542175293
MAR04093,-29.56898935222248,0.6617685556411743
MAR04095,-31.37024704798301,0.6617652177810669
MAR04101,12.847982351940459,2.219099998474121
MAR04103,13.558002587807138,2.219106912612915
MAR04143,-5.693189906428877,0.6991862058639526
MAR04193,-26.404151735286707,0.48995518684387207
MAR08497,-22.592787520367008,3.2134344577789307
MAR08498,-382.83761493803706,2.435011625289917
MAR08499,-435.7975756386982,3.6856930255889893
MAR08500,-13.599340837974806,1.4205669164657593
MAR08501,-6.945830073343721,3.0792462825775146
MAR08502,13.264445845546621,2.508798837661743
MAR08503,-41.97152785012264,1.30159592628479
MAR08504,-41.97152785012264,1.3015961647033691
MAR08506,-41.969699339428956,1.301593542098999
MAR08507,29.246338338791116,1.003158450126648
MAR08508,29.246338338791116,1.0031609535217285
MAR08509,-29.24629828499809,1.0031700134277344
MAR08511,-31.52446074392918,2.6473960876464844
MAR08512,26.005310032587396,0.48582902550697327
MAR08514,15.186926764642227,3.6021363735198975
MAR08516,-66.40545980029918,3.107393980026245
MAR08517,-71.48969699825064,3.117180585861206
MAR04280,-26.005628281684523,0.48583123087882996
MAR00153,-7.889793552442583,0.7854018807411194
MAR03212,53.76595943109123,5.021255970001221
MAR03797,-7.810536044745334,0.7854165434837341
MAR03800,-28.934965711365805,2.261094093322754
MAR04105,-20.20117014741853,3.094799280166626
MAR04106,-20.203443720406938,3.0948069095611572
MAR04107,-20.199665069580078,3.0947980880737305
MAR04282,-27.556305691376764,2.910151243209839
MAR04331,23.737023662407708,3.7242279052734375
MAR04459,15.847220096384795,3.7782318592071533
MAR04460,13.897233859474113,3.778230905532837
MAR04464,-16.455701387161035,2.495435953140259
MAR04497,22.980375027366534,1.4897161722183228
MAR04741,-31.138843893637528,1.1558150053024292
MAR08078,-34.75401803976667,2.4277048110961914
MAR09803,45.13376521770945,2.255910634994507
MAR09804,29.621162961329105,1.8061219453811646
MAR00718,-7.141291483612889,4.527777194976807
MAR00719,-21.384061868973426,0.9519526958465576
MAR01434,-27.55964728593777,1.0606874227523804
MAR01436,1.4483944620977276,0.998904824256897
MAR03163,41.349051166931076,4.920092582702637
MAR04461,11.379173088768681,0.896034300327301
MAR04604,-29.25884246826172,4.057847499847412
MAR05351,21.639884715469062,1.107291579246521
MAR07709,4.097522864721002,1.0436089038848877
MAR04052,-8.406453416241984,0.5722410082817078
MAR04304,-9.464893549839719,1.013216495513916
MAR04350,15.339503551669216,0.3613101541996002
MAR04351,4.751846142226114,0.4883529841899872
MAR04352,4.75184709590043,0.4883540868759155
MAR04354,-6.915417842336144,0.6456093192100525
MAR04398,22.356441141393343,1.8541195392608643
MAR04404,-7.331596974901839,1.240594506263733
MAR04473,8.393055427741587,2.2185611724853516
MAR04474,8.393059242438852,2.218552350997925
MAR04476,15.19864808168209,0.3613069951534271
MAR04477,0.0,0.0
MAR04501,7.059298852287682,0.757891058921814
MAR04565,-2.4561806142279465,1.0347074270248413
MAR04567,-12.73141551184305,1.066053032875061
MAR09799,-10.098623033835523,0.7319527268409729
MAR09800,-7.630264726918966,1.3041112422943115
MAR04623,-22.770450847161555,1.2675210237503052
MAR04625,-22.770450847161555,1.2675189971923828
MAR04710,-6.087742230906528,1.3326472043991089
MAR04841,-17.73397988940692,0.6528815031051636
MAR08074,-15.337415507539916,0.3613038659095764
MAR08653,9.464828700514467,1.0132265090942383
MAR03998,-24.65604675506906,0.37866029143333435
MAR04000,2.0880886787839934,1.8783531188964844
MAR04002,1.3859365259791296,0.1445343792438507
MAR04004,-0.24836368254116792,0.1445295363664627
MAR04010,-10.705279173559218,0.45862913131713867
MAR04081,-10.447501605893022,0.45862913131713867
MAR04082,-10.034284419919047,0.45862913131713867
MAR04012,-15.336694332327223,0.3612994849681854
MAR04014,-37.35725920926618,2.3685567378997803
MAR04020,1.3845586544871686,0.14452749490737915
MAR04022,2.0890159991873727,1.878335952758789
MAR04038,-16.976005160284693,13.071255683898926
MAR04040,-6.95131596255516,2.0443599224090576
MAR04042,-1.4627795670076007,1.3192596435546875
MAR04046,-28.98934632259831,10.098422050476074
MAR04048,-37.35949133338517,2.368568181991577
MAR04080,-21.48927175280221,0.6275710463523865
MAR04085,-18.8700632688699,0.6842837929725647
MAR04086,-19.29723831015061,0.6842801570892334
MAR04134,-24.859464614698187,0.3786657154560089
MAR04135,-0.2501943715595871,0.14452748000621796
MAR04168,-35.270481056243696,0.7679418921470642
MAR04171,-26.404143648467322,0.4899579882621765
MAR04290,-25.68693036292313,0.3780905306339264
MAR04406,-28.034448836988986,6.672791481018066
MAR04412,-10.626162589948425,1.1394485235214233
MAR04417,-10.180161845166252,5.501893520355225
MAR04418,-19.39963151550072,5.523728847503662
MAR04419,-9.509909065053858,10.1724271774292
MAR04421,-26.404130344457595,0.4899863004684448
MAR04449,-10.703021993934648,0.45862799882888794
MAR04450,-10.443685046751353,0.4586309790611267
MAR04451,15.112719412830117,0.36131006479263306
MAR04452,-18.86555310501823,0.6843020915985107
MAR04453,-18.80790640275445,10.062347412109375
MAR04480,1.3880880976425907,0.14453329145908356
MAR04481,-20.96415251706061,5.433933258056641
MAR04482,-20.96375937301888,5.433932781219482
MAR04486,-15.339429836471393,0.3613176941871643
MAR04487,-15.339401832144862,0.36132970452308655
MAR04488,-15.33979276842544,0.3613130748271942
MAR04489,-15.339787652282503,0.36133143305778503
MAR04492,-15.339426975448443,0.3613129258155823
MAR04493,-15.339398971121913,0.36132487654685974
MAR04495,-15.339461941975536,0.3613046407699585
MAR04496,-15.3394511037867,0.3613177239894867
MAR04518,-31.333081610528506,13.954222679138184
MAR04519,-22.357208041141153,6.961080074310303
MAR04520,-158.78196585726639,8.684955596923828
MAR04573,-26.40411513630902,0.4899597465991974
MAR04574,9.632484552019747,0.5612122416496277
MAR04600,-15.336875520704425,0.36130064725875854
MAR04602,-10.705089402113176,0.4586167335510254
MAR04603,-9.065516202568782,1.7056989669799805
MAR04611,-59.061129898927355,2.7884395122528076
MAR04612,-59.06110494427328,2.7884128093719482
MAR04614,-59.06121155257359,2.7883949279785156
MAR04615,-59.06124769412642,2.7884178161621094
MAR04617,-59.061243340749336,2.7883834838867188
MAR04618,-59.05883242635755,2.7884321212768555
MAR04619,-59.061254766970784,2.7884113788604736
MAR04621,-59.05885998829817,2.7884273529052734
MAR04632,-10.707450942607876,0.45861801505088806
MAR04646,-14.196522260936963,8.315252304077148
MAR04648,-14.346867561340332,8.315252304077148
MAR04649,-150.62126481827315,10.084720611572266
MAR04650,-29.025318145751953,9.91016960144043
MAR04651,9.621281549094716,0.5612340569496155
MAR04663,9.625473420248387,0.5612217783927917
MAR04664,-3.9937155950568126,8.409018516540527
MAR04694,-21.486898075954223,0.6275731325149536
MAR04695,-9.072166694352722,1.7056933641433716
MAR04705,-25.579039930957936,8.325719833374023
MAR04709,-9.599357449438287,5.991571426391602
MAR04799,-33.689708739399364,6.436557769775391
MAR04802,-10.098200355824432,10.363359451293945
MAR04804,3.9891802561041665,3.1746084690093994
MAR04808,3.7818488165418245,5.467584609985352
MAR04810,0.6998632439960346,8.035761833190918
MAR04812,-24.381885990294002,2.911757469177246
MAR04814,4.456472469526112,2.296910285949707
MAR05301,-15.338805504356518,0.36131051182746887
MAR05353,1.386626279814017,0.14454308152198792
MAR06601,26.010266983431094,9.345919609069824
MAR06602,,
MAR06603,,
MAR06605,,
MAR06606,,
MAR06607,,
MAR06609,-87.7058714858055,18.815773010253906
MAR06610,-45.4007683174455,21.350324630737305
MAR06611,4.353747623192422,23.789186477661133
MAR07144,-32.74155067138855,0.7817941308021545
MAR08755,-37.001556396484375,8.365853309631348
MAR09797,-20.95971495026319,5.433933734893799
MAR04016,3.9631954869889796e-05,0.00019066428649239242
MAR04018,0.00012998467454394813,0.00019614612392615527
MAR04044,4.112896960606349e-05,0.00023089043679647148
MAR04291,2.5484263161956733e-05,0.0002114460658049211
MAR04420,8.334592985193012e-05,0.00022337198606692255
MAR04570,3.110881027623691e-05,0.00019406876526772976
MAR04572,8.51467591189703e-05,0.0002018262166529894
MAR04006,4.566874159905865e-05,0.00025288303731940687
MAR04028,5.633998958387565e-05,0.00022884194913785905
MAR04030,0.00014199096776223996,0.00023580749984830618
MAR04670,6.124067323298732e-05,0.00021768255101051182
MAR04673,-9.969369585860477e-06,0.00024694434250704944
MAR04675,-8.521685657569833e-06,0.0002724219812080264
MAR06614,8.288326199590301e-06,0.00021677708718925714
MAR06615,-6.152258870883998e-05,0.0002056404628092423
MAR06616,5.8469195494126325e-06,0.0002124865131918341
MAR04635,2.2561827655920297e-05,0.00023030885495245457
MAR03793,-2.964387648469831,2.3231754302978516
MAR03931,-11.991538007156247,1.23412024974823
MAR03969,-15.33883250757803,0.3613157570362091
MAR03970,-10.703108762031166,0.458629310131073
MAR04008,1.388644740547722,0.1445387750864029
MAR04032,-4.958561843305311,0.9103898406028748
MAR04034,-13.143101799300204,2.4130189418792725
MAR04036,-5.605124409456611,5.729335784912109
MAR04050,22.09771484130097,1.5429511070251465
MAR04056,-10.705193805623841,0.4586232900619507
MAR04059,-24.653317559665503,0.3786742389202118
MAR04060,-24.85091150299703,0.37867435812950134
MAR04127,-32.751884891587345,0.7818028330802917
MAR04177,-10.70324292960473,0.4586371183395386
MAR04179,-10.444063932887074,0.458636075258255
MAR04182,-15.33866370738842,0.3613218665122986
MAR04183,-24.860025447145052,0.3786710798740387
MAR04192,-25.686859644016153,0.37806224822998047
MAR04194,-15.139974583431155,1.4643590450286865
MAR04210,-26.404131832471048,0.4899773895740509
MAR04211,-35.58437279812908,0.7679031491279602
MAR04343,-7.437665141505736,1.5391817092895508
MAR04345,-11.64722760077219,15.500582695007324
MAR04346,-55.612181771582264,13.83008098602295
MAR04470,17.3371189905529,16.31946563720703
MAR04471,9.18110272060025,16.319459915161133
MAR04472,17.337164766391822,16.319480895996094
MAR04484,-10.034209975429292,0.45862147212028503
MAR04485,1.05784395085678,2.653682231903076
MAR04510,-10.705345959496462,0.45863428711891174
MAR04512,1.3864366797881083,0.1445426493883133
MAR04513,-15.336621824344082,0.3613142669200897
MAR04514,-21.077258651378024,0.841668963432312
MAR04577,-0.8703437136401924,2.042640447616577
MAR04579,-1.8065023609742736,1.4940516948699951
MAR04580,-21.078958726369574,0.8416638970375061
MAR04608,-3.4161100364233956,1.0931134223937988
MAR04575,-1.5860392357027884,4.53639554977417
MAR04637,1.3904111556443404,0.1445545107126236
MAR04642,-10.705205494798458,0.4586144685745239
MAR04643,-36.9685541925148,0.767890453338623
MAR04644,-38.223705626477326,6.241585731506348
MAR04672,-21.080975475819958,0.8416491746902466
MAR04676,-15.338691641233517,0.3613312542438507
MAR04736,-56.25993479534289,13.792550086975098
MAR04819,-15.356291444704794,3.1392478942871094
MAR05299,-15.338859975483697,0.3613220155239105
MAR05352,-15.338830577178665,0.3613125681877136
MAR05415,53.79845978273251,2.788412570953369
MAR05416,53.79877209358314,2.788414478302002
MAR05417,-17.25425080816464,1.2341314554214478
MAR06612,-0.22697037057528746,0.1445705145597458
MAR06613,1.3903766642471034,0.14457230269908905
MAR06621,53.77105300100284,2.7884254455566406
MAR06622,-59.058824796963016,2.7884418964385986
MAR06623,-15.336758264582489,0.361325204372406
MAR06624,-15.106711013914587,0.36132654547691345
MAR06627,-26.40411788083045,0.4899677336215973
MAR07744,5.678328999185896,6.883484363555908
MAR08072,-16.792271619023566,1.277902364730835
MAR08637,-21.568903288584142,2.2437615394592285
MAR03965,-24.651929911446896,0.37867891788482666
MAR03966,-36.98829865406783,0.7678991556167603
MAR03967,1.384293321218241,0.1445414274930954
MAR03968,1.390030004580538,0.14453965425491333
MAR03999,-24.857461742194428,0.3786623775959015
MAR04024,1.3843291956962496,0.1445300579071045
MAR04026,-0.2518835435792255,0.1445290893316269
MAR04054,-15.3367797002626,0.3612915873527527
MAR04061,-25.68687981281831,0.37807658314704895
MAR04083,-15.106713020013498,0.3613004982471466
MAR04136,-25.686844628958283,0.37812355160713196
MAR04180,-15.338717224841282,0.36132362484931946
MAR04185,46.98111664760937,0.65522700548172
MAR04186,-2.014938348029233,1.769896149635315
MAR04342,-24.845671176903544,0.3786613345146179
MAR04344,-11.647193269025056,15.500574111938477
MAR04483,-15.106783649805973,0.36129194498062134
MAR04507,-21.07739530137876,0.8416765928268433
MAR04516,-24.655534680331126,0.37867626547813416
MAR04601,-15.107174377914784,0.3613007366657257
MAR04633,-15.334522563278565,0.3613033890724182
MAR04640,0.2286316336649179,0.1445375680923462
MAR04641,-15.336770872110936,0.36130544543266296
MAR04680,2.3639409856320057,2.4511423110961914
MAR04806,-0.22760877385228184,4.308497428894043
MAR05394,-31.33727443535649,13.95422649383545
MAR06625,-15.106776858305732,0.3613091707229614
MAR06626,-10.034226303672682,0.4586142301559448
MAR07160,,
MAR07161,,
MAR07162,,
MAR07163,,
MAR07164,,
MAR07713,-13.510263526295248,0.45862913131713867
MAR07716,-13.53700306883529,0.45862773060798645
MAR07717,-10.028657166675089,0.4586305022239685
MAR07721,-13.534753809929057,0.4586363732814789
MAR07725,-13.5079904757757,0.4586232602596283
MAR07728,-13.539976835552238,0.45862796902656555
MAR07800,1.3858822932705301,0.14453542232513428
MAR07801,-0.24850723800079777,0.1445370465517044
MAR07802,1.3880581361983566,0.14456816017627716
MAR07863,1.3885957724601674,0.14455293118953705
MAR07864,1.388601732924645,0.14455042779445648
MAR07865,1.3885856345348593,0.14452067017555237
MAR07866,1.3885904029064413,0.14452292025089264
MAR07867,1.3886002830008657,0.1445515900850296
MAR07868,1.3886062434653432,0.14453785121440887
MAR07869,1.3885988050586882,0.14456260204315186
